Count,Age,Status,Passenger Class,Sex,Embarked
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age <14,Survived,Class 1,Male,Southampton
1,Age <14,Perished,Class 1,Female,Southampton
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Female,Southampton
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Southampton
1,Age >51,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age >51,Survived,Class 1,Male,Southampton
1,NA,Perished,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 14-30,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age >51,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,NA,Survived,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,NA,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age >51,Survived,Class 1,Female,Southampton
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Southampton
1,NA,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age <14,Survived,Class 1,Male,Southampton
1,Age <14,Survived,Class 1,Female,Southampton
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,NA,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,NA,Survived,Class 1,Female,Southampton
1,NA,Perished,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,NA,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age >51,Survived,Class 1,Female,Southampton
1,NA,Perished,Class 1,Male,Southampton
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age >51,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age >51,Survived,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age >51,Survived,Class 1,Male,Southampton
1,Age <14,Survived,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Female,Cherbourg
1,NA,Perished,Class 1,Male,Southampton
1,NA,Survived,Class 1,Female,Southampton
1,NA,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age >51,Perished,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,NA,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,NA,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age >51,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,NA,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,NA,Survived,Class 1,Female,Cherbourg
1,Age >51,Perished,Class 1,Male,Cherbourg
1,Age >51,Survived,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,NA,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Male,Cherbourg
1,NA,Survived,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age >51,Perished,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,NA,Perished,Class 1,Male,Southampton
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age >51,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Southampton
1,NA,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age >51,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Southampton
1,NA,Survived,Class 1,Female,Southampton
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,NA,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,NA,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age >51,Survived,Class 1,Female,Southampton
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,NA,Survived,Class 1,Male,Cherbourg
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Male,Cherbourg
1,NA,Survived,Class 1,Female,Cherbourg
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Queenstown
1,Age 31-50,Survived,Class 1,Female,Queenstown
1,Age 31-50,Survived,Class 1,Female,Queenstown
1,Age 14-30,Survived,Class 1,Male,Cherbourg
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age >51,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,NA,Survived,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age >51,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Perished,Class 1,Male,Cherbourg
1,NA,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 14-30,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age >51,Survived,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Southampton
1,NA,Survived,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Male,Cherbourg
1,NA,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Male,Southampton
1,NA,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age >51,Perished,Class 1,Male,Cherbourg
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age <14,Survived,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age >51,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,NA,Survived,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,NA,Survived,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Survived,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age >51,Survived,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Male,Southampton
1,Age >51,Perished,Class 1,Male,Southampton
1,Age >51,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Perished,Class 1,Male,Southampton
1,NA,Perished,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Male,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age <14,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age >51,Perished,Class 1,Male,Cherbourg
1,NA,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,Age >51,Perished,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age >51,Survived,Class 1,Female,Cherbourg
1,NA,Perished,Class 1,Male,Cherbourg
1,Age >51,Perished,Class 1,Male,Southampton
1,Age >51,Perished,Class 1,Female,Southampton
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Survived,Class 1,Male,Southampton
1,NA,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,NA,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Male,Cherbourg
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 31-50,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age >51,Perished,Class 1,Male,Cherbourg
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age >51,Perished,Class 1,Male,Southampton
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 14-30,Perished,Class 1,Male,Southampton
1,Age >51,Survived,Class 1,Female,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Southampton
1,Age 31-50,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Perished,Class 1,Male,Cherbourg
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Survived,Class 1,Female,Southampton
1,Age >51,Perished,Class 1,Male,Cherbourg
1,Age 14-30,Survived,Class 1,Male,Cherbourg
1,NA,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,NA,Survived,Class 1,Male,Southampton
1,Age >51,Perished,Class 1,Male,Southampton
1,Age 31-50,Survived,Class 1,Female,Cherbourg
1,Age 14-30,Perished,Class 2,Male,Cherbourg
1,Age 14-30,Survived,Class 2,Female,Cherbourg
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age >51,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age >51,Perished,Class 2,Male,Southampton
1,Age 31-50,Survived,Class 2,Male,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age <14,Survived,Class 2,Male,Southampton
1,Age <14,Survived,Class 2,Female,Southampton
1,Age <14,Survived,Class 2,Female,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age 31-50,Survived,Class 2,Male,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age >51,Perished,Class 2,Male,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age <14,Survived,Class 2,Male,Southampton
1,Age 14-30,Survived,Class 2,Male,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,NA,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Female,Southampton
1,Age >51,Perished,Class 2,Male,Southampton
1,Age >51,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Female,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Survived,Class 2,Male,Southampton
1,Age <14,Survived,Class 2,Female,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Female,Southampton
1,NA,Perished,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,NA,Perished,Class 2,Male,Southampton
1,Age <14,Survived,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Cherbourg
1,Age 14-30,Survived,Class 2,Female,Cherbourg
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age >51,Perished,Class 2,Male,Southampton
1,Age <14,Survived,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age 14-30,Survived,Class 2,Female,Cherbourg
1,Age 14-30,Survived,Class 2,Female,Cherbourg
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,NA,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Female,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 31-50,Survived,Class 2,Female,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age >51,Perished,Class 2,Male,Southampton
1,Age 14-30,Perished,Class 2,Male,Southampton
1,Age <14,Survived,Class 2,Male,Southampton
1,Age 14-30,Survived,Class 2,Female,Southampton
1,Age 31-50,Perished,Class 2,Male,Southampton
1,Age <14,Survived,Class 2,Female,Southampton
